"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"217231_s_at",3.35745901705262,4.43171948744134,134.864764850316,0,0,948.432393084262
"211191_at",3.73308270126315,4.37855859358659,134.5926402236,0,0,947.378695578073
"211237_s_at",3.29040770126314,4.44120905913594,134.138653649792,0,0,945.616270216924
"1553448_at",4.22845112231578,4.3084505861378,134.091298796071,0,0,945.432105572229
"1553457_at",2.93402385228986,4.4929710425568,133.904396159889,0,0,944.70462816565
"202280_at",3.41780243810525,4.42317926397765,133.903541438495,0,0,944.701299124617
"1552771_a_at",4.68292217494735,4.2441306606257,133.874627287061,0,0,944.588669896143
"229901_at",3.3087550696842,4.43861241109125,133.81372311447,0,0,944.351354028433
"207685_at",3.22123796442105,4.4509984446108,133.472347758579,0,0,943.01925829226
"1562029_at",3.62285770126315,4.39415840736685,133.247078884369,0,0,942.138445244152
"216099_at",3.86827085915789,4.35942581891248,133.220128364551,0,0,942.032972183302
"231753_s_at",3.33161296442105,4.43537740178026,133.042082528077,0,0,941.335663504505
"236785_at",3.12414849073684,4.46473922673371,132.855974473397,0,0,940.605827580482
"240009_at",3.31515638547368,4.43770645205959,132.817881234462,0,0,940.456322065784
"231290_at",3.43528796442105,4.4207045898622,132.503024376798,0,0,939.219027676407
"234436_x_at",2.52399932679883,4.54989184832216,132.364478252078,0,0,938.673694278228
"216390_at",2.82872480652631,4.50654965503911,131.613208791806,0,0,935.707109019284
"203993_x_at",3.05284585915788,4.47483047440596,131.482983477296,0,0,935.1912406796
"215843_s_at",2.96898664863157,4.48669881705028,131.407368650098,0,0,934.891480460124
"1559686_a_at",3.87255638547368,4.3588193012216,131.25955854489,0,0,934.305041693047
"234622_at",3.91043928021052,4.35345784870764,131.157001573712,0,0,933.897775950085
"229935_s_at",4.027740596,4.33685654516946,131.120868292408,0,0,933.75421425849
"230471_at",3.28266164863157,4.44230533474115,130.962041811119,0,0,933.122731612688
"213796_at",4.13792875389472,4.3212619455419,130.947216485676,0,0,933.063750009742
"214406_s_at",3.48996691178946,4.41296604237616,130.939686697868,0,0,933.033790800818
"219652_s_at",2.99282217494736,4.483325446473,130.933706619137,0,0,933.009996342602
"230813_at",3.40458796442104,4.42504946881937,130.257320105495,0,0,930.311992855441
"222255_at",3.88855112231578,4.35655561407076,130.203056420109,0,0,930.09496635688
"243151_at",4.02402612231578,4.33738224349348,130.079670106822,0,0,929.601165143784
"206629_at",3.66176296442104,4.38865226211546,130.014267854663,0,0,929.339239903007
"226618_at",4.55097857061707,4.2638790600838,129.995844013487,0,0,929.265432849668
"210295_at",2.8480853328421,4.50380961779516,129.939849234487,0,0,929.041053249268
"207443_at",3.832890596,4.36443308148231,129.934333782165,0,0,929.018947021647
"1565816_at",3.4503998065263,4.41856585615642,129.905361644279,0,0,928.902810498621
"242222_at",3.27268138547367,4.44371781146369,129.620214133861,0,0,927.758464999124
"232657_at",3.84522612231577,4.36268727142644,129.565183695162,0,0,927.537343200986
"212874_at",3.9834353328421,4.34312693623091,129.50125738748,0,0,927.280364233568
"243917_at",3.24059848800696,4.45294656291806,129.49633576683,0,0,927.260574692421
"231859_at",3.15548796442105,4.46030384498324,129.453348556757,0,0,927.087695327447
"1553061_at",3.11336428021053,4.46626548371695,129.402102683924,0,0,926.881531285574
"219249_s_at",3.2438504541056,4.45317513010987,129.098195820513,0,0,925.657307201959
"223932_at",3.21801691178947,4.45145431053259,129.083993272433,0,0,925.60002835994
"231527_at",3.4433603328421,4.41956213176164,129.0415324878,0,0,925.428748431447
"227241_at",4.33701822757893,4.29308540922905,128.67438293319,0,0,923.945491541684
"220196_at",3.87136822757895,4.35898745764618,128.6390284068,0,0,923.80244995825
"217442_at",3.08359191178946,4.47047907775791,128.162404441197,0,0,921.87041855014
"211735_x_at",2.92923138547368,4.49232526025326,128.160741598413,0,0,921.863666169421
"216826_at",3.62902743810525,4.39328522300931,127.987244378685,0,0,921.158681269733
"243921_at",3.84675397236316,4.3731949420689,127.909829752052,0,0,920.843823939506
"230255_at",3.55160638547368,4.40424239246927,127.880144771178,0,0,920.723042584841
"234086_at",2.97876822757894,4.48531445950838,127.867282285032,0,0,920.670699835945
"211550_at",3.03157612231578,4.47784071649162,127.580703453567,0,0,919.503196504207
"226067_at",3.28053664863157,4.44260607962011,127.485906763345,0,0,919.116453944968
"221793_at",2.98000618015584,4.48655089257914,127.483245369922,0,0,919.105592312198
"1552843_at",3.93948401705263,4.3493472341825,127.402708569743,0,0,918.776805257733
"216741_at",2.70975770126315,4.52338671276723,127.370134626746,0,0,918.643767997445
"1553620_at",4.13561954336842,4.32158876118436,127.298902522774,0,0,918.35273220107
"224537_at",5.13635770126315,4.17995729004842,127.271331588172,0,0,918.240043140642
"1561019_at",2.376715596,4.57052116341899,127.250159043882,0,0,918.153490146556
"225977_at",3.25850112231578,4.44572470159404,127.18226446751,0,0,917.875846260112
"237169_at",3.9453603328421,4.34851557682682,127.098283742039,0,0,917.53222639289
"217112_at",3.39785901705263,4.42600179656611,127.060145794683,0,0,917.376108197182
"237349_at",3.17116428021052,4.45808522300931,127.012824458503,0,0,917.182335974519
"208543_at",3.50473401705262,4.41087609824209,126.898010319628,0,0,916.711908766318
"1566114_at",3.9336800696842,4.35016864945251,126.864076335672,0,0,916.572794121331
"206014_at",3.13324585915788,4.46345170345624,126.701618474486,0,0,915.906298793467
"232625_at",3.29580901705263,4.44044462710615,126.634426512546,0,0,915.630402314604
"243653_at",2.34432085915789,4.57510589340037,126.606727397383,0,0,915.516626822212
"206889_at",2.61573138547368,4.53669397533706,126.487495765992,0,0,915.026607855049
"1563658_a_at",3.45977875389473,4.41723848185475,126.411492310026,0,0,914.714020154922
"240902_at",3.29832952172496,4.44050709651955,126.38790143215,0,0,914.61695921206
"207726_at",3.13217612231578,4.46360310010428,126.36355216292,0,0,914.516760008256
"238997_at",3.61879717494736,4.39473308148231,126.361567847855,0,0,914.508593586927
"236174_at",3.822440596,4.36591203865177,126.201532560163,0,0,913.849570749628
"229922_at",2.85145638547368,4.50333252282309,126.02661617102,0,0,913.128362912865
"240911_at",3.0522603328421,4.47491334218994,125.868545253722,0,0,912.475796799817
"243385_at",3.78550770126315,4.37113904051397,125.797253049175,0,0,912.181226700556
"205043_at",3.45988138547367,4.41722395671508,125.569928565868,0,0,911.240896426239
"229472_at",4.77513928021051,4.23107945019739,125.56820466242,0,0,911.233759334131
"1566151_at",2.92966954336841,4.49226324908007,125.566322431493,0,0,911.225966648382
"220312_at",3.51481822757894,4.40944891016015,125.345270088642,0,0,910.31001189152
"208550_x_at",3.71783401705263,4.38071669414525,125.274653657648,0,0,910.017083185097
"1555533_at",4.08224717494735,4.32914239246927,125.242304234778,0,0,909.882840284454
"232299_at",2.65829191178947,4.53067051164991,125.130885615714,0,0,909.420226965239
"205460_at",4.0329300696842,4.33612209451769,124.491853084649,0,0,906.75940704876
"221259_s_at",3.19248270126315,4.4550680907933,124.401759859514,0,0,906.383237849258
"1563008_at",3.58519454336842,4.39948876118436,124.3721688342,0,0,906.259629373013
"229772_at",3.70310112231578,4.38280179656611,124.319555880159,0,0,906.039784475936
"1559567_at",3.95585901705263,4.347029729527,124.222961236586,0,0,905.635932020608
"228078_at",4.41704585915788,4.28175933846555,123.814665682998,0,0,903.925610063555
"1562152_at",3.89911164863157,4.3550610144432,123.705868450518,0,0,903.468968328934
"238240_at",3.79311559599999,4.37006231798138,123.66097992745,0,0,903.280452680796
"221026_s_at",3.69618620914841,4.38381158295903,123.538196173173,0,0,902.764475282543
"206799_at",3.5291050696842,4.40742693623091,123.433336921854,0,0,902.323439598705
"222012_at",2.8268853328421,4.50680999023464,123.356159464515,0,0,901.998607240094
"221608_at",3.97931033284209,4.34371073511359,123.344661751726,0,0,901.950198099611
"234891_at",3.27109849073684,4.44394183381006,123.211017857689,0,0,901.387201266888
"210171_s_at",4.00581954336841,4.33995896602607,123.139850035045,0,0,901.087160274077
"220447_at",3.57266954336841,4.40126138688268,122.952906396095,0,0,900.298233630264
"1563894_at",3.27801428021052,4.44296306286034,122.91016387483,0,0,900.117695876813
"206387_at",2.86925243810525,4.50081390084916,122.890314003943,0,0,900.033833002884
"207373_at",3.63481033284209,4.39246678725512,122.865919235342,0,0,899.930751106505
"241258_at",3.49621559599999,4.41208168483426,122.842516855916,0,0,899.831844505031
"1561434_at",3.57023270126315,4.40160626583985,122.743096388218,0,0,899.411461062476
"244155_x_at",3.77967217494736,4.37196492505773,122.627543994804,0,0,898.922463244611
"241548_at",2.91966428021052,4.49367926397765,122.244860090158,0,0,897.299907728445
"224264_x_at",2.87832743810526,4.49952954330726,122.201605021604,0,0,897.116208334323
"1562211_a_at",2.44905451928838,4.56044585998696,122.071228589285,0,0,896.562143947687
"1562121_at",3.88828401705262,4.35659341667784,122.062897677959,0,0,896.526720915915
"232025_at",2.72119454336841,4.5217680907933,121.919748766186,0,0,895.917696203574
"238280_at",4.11035901705262,4.32516380773929,121.872063206036,0,0,895.71466939103
"237250_at",3.94470112231578,4.3486088729162,121.859685042637,0,0,895.661955706274
"239145_at",3.8504248065263,4.3619515172365,121.818048869104,0,0,895.484606799164
"1554932_at",4.0166300696842,4.33842898464805,121.754533041009,0,0,895.213951844766
"237285_at",3.20930243810526,4.45268764386592,121.744475607518,0,0,895.171082724235
"207906_at",3.64243473438862,4.3975858143203,121.686588269467,0,0,894.924277144557
"227282_at",3.15177480652631,4.46082935708752,121.648279088181,0,0,894.760883302329
"232855_at",3.83422612231579,4.36424406844693,121.603997951828,0,0,894.571957964651
"1568821_at",3.23620506968421,4.44888019507635,121.601117921468,0,0,894.559668083221
"1559865_at",4.87732085915788,4.21661799768343,121.403922149771,0,0,893.71752795115
"215700_x_at",2.40319191178947,4.56677404982495,121.264750439097,0,0,893.122409803911
"216116_at",3.35697612231578,4.43178783008566,121.231812203461,0,0,892.981467253169
"220105_at",3.81971559599999,4.36629769973184,121.106614230453,0,0,892.445417174357
"1557991_at",3.877215596,4.35815989712477,121.077968227934,0,0,892.32269269002
"230674_at",3.24127612231578,4.44816250420112,121.076303327219,0,0,892.315559125331
"234782_at",3.76223928021053,4.37443215038361,120.871617641918,0,0,891.437843811654
"223571_at",3.34156675428552,4.43538561950279,120.367344692206,0,0,889.269494132444
"231712_at",3.40442349073683,4.42507274628678,120.365889175559,0,0,889.263223144628
"240140_s_at",4.27129849073684,4.30238652654749,120.278719190003,0,0,888.887527749676
"228995_at",3.54312612231578,4.40544257868901,120.265389200416,0,0,888.830054075535
"1561461_at",4.01148664863157,4.33915691760894,120.236013683552,0,0,888.703377288478
"206156_at",3.03472349073683,4.47739527887523,120.235498877799,0,0,888.701157019592
"235481_at",4.5252800696842,4.26644127515084,120.23389960887,0,0,888.694259590197
"211625_s_at",3.81157612231578,4.36744965503911,120.222509081446,0,0,888.645131303848
"1555800_at",4.64835901705263,4.24902228073743,120.017185208324,0,0,887.758802647934
"224530_s_at",3.41757612231578,4.42321129377281,119.842522369918,0,0,887.003708987393
"1569428_at",2.96841016089142,4.48892365473371,119.809219858411,0,0,886.859620063815
"206258_at",3.5365767894046,4.40914383743948,119.587793257537,0,0,885.900624345108
"237277_at",4.34318138547367,4.29221315597021,119.521003484428,0,0,885.611031838147
"220478_at",2.52186428021052,4.54997870531844,119.490518404303,0,0,885.478801725747
"207444_at",3.11161954336841,4.46651241109125,119.377027729122,0,0,884.986253728933
"1557837_a_at",3.9734050696842,4.34454648930354,119.247409363747,0,0,884.423174577804
"207514_s_at",3.53530824280431,4.40698640338361,119.11322475595,0,0,883.839654488308
"238125_at",3.1788103328421,4.45700310010428,119.112565322026,0,0,883.836785329144
"236726_at",3.71224191178947,4.38150812803724,119.090169775986,0,0,883.739334756498
"1562449_s_at",2.61996164863157,4.53609527887523,119.034234407995,0,0,883.495866090644
"216732_at",3.40868138547367,4.42447013921043,118.985455444416,0,0,883.283459441281
"226654_at",3.1351353328421,4.46318429191061,118.948491015778,0,0,883.122444519358
"206406_at",2.63572438750553,4.53412453299628,118.899445217949,0,0,882.908731478109
"204338_s_at",4.03878664863157,4.3352932304581,118.899267260191,0,0,882.90795589143
"244810_at",3.33932875389472,4.43428540922905,118.710230761306,0,0,882.083470523267
"208318_s_at",3.29853664863157,4.44005859358659,118.622938115694,0,0,881.702327355098
"215335_at",3.06675770126315,4.47286157310242,118.605737053466,0,0,881.627191918383
"1553963_at",5.43276559599999,4.13800756937803,118.601597676878,0,0,881.609109310392
"228227_at",2.9682550696842,4.48680235522533,118.361831948077,0,0,880.560698129968
"224344_at",3.44389849073683,4.41948596788827,118.286227683487,0,0,880.229695005761
"206190_at",3.67699370565863,4.38776560010428,118.259583118974,0,0,880.112995217962
"1569042_at",3.95872085915789,4.34662470159404,118.245160456521,0,0,880.04981553468
"1566585_at",3.89819585915788,4.35519062338175,118.235513531214,0,0,880.007552343693
